,写字楼名称,租金,物业费,纬度,经度,geometry
0,天威视讯大厦（天威信息大厦）,83~168,30元/平（含空调）,22.519938,113.93797,POINT (113.93797 22.519938)
1,阳光科创中心,62~233,12元／平,22.51208,113.914657,POINT (113.914657 22.51208)
2,鹏润达商业广场,88~230,,22.517329,113.942078,POINT (113.942078 22.517329)
3,SCC中洲控股中心,115~380,,22.515524,113.934789,POINT (113.934789 22.515524)
4,天利中央广场一期,88~190,,22.517378,113.934757,POINT (113.934757 22.517378)
5,闽泰大厦,60~126,13元/平方,22.519825,113.937589,POINT (113.937589 22.519825)
6,茂业时代广场,58~160,25元/平米•月,22.519303,113.930732,POINT (113.930732 22.519303)
7,天利中央广场二期,88~230,,22.517475,113.934737,POINT (113.934737 22.517475)
8,海岸大厦,88~220,20元/平·月,22.517251,113.938521,POINT (113.938521 22.517251)
9,西海岸大厦,72~108,,22.51598,113.927815,POINT (113.927815 22.51598)
10,新绿岛大厦,69~120,深圳市山木培训有限公司，太平洋保险,22.522775,113.923604,POINT (113.923604 22.522775)
11,海王大厦,78~140,A座中央空调每平方米12.5元；B座分体空调24小时计电费,22.514534,113.927404,POINT (113.927404 22.514534)
12,阳光华艺大厦,80~98,2.8/平/月,22.54184,113.93562,POINT (113.93562 22.54184)
13,雷格斯中洲控股中心,2888~25500,,22.515524,113.934789,POINT (113.934789 22.515524)
14,瑞峰创业中心（向南瑞峰）,85~110,,22.523191,113.926105,POINT (113.926105 22.523191)
15,保利大厦,95~110,,22.514188,113.928268,POINT (113.928268 22.514188)
16,怡海广场,56~70,5元/平米·月,22.515152,113.925918,POINT (113.925918 22.515152)
17,携富空间,1380~3800,2.8/平/月,22.54184,113.93562,POINT (113.93562 22.54184)
18,创富港-闽泰大厦,2460~5780,13元/平方,22.519825,113.937589,POINT (113.937589 22.519825)
19,企创-新绿岛大厦,3000~4880,深圳市山木培训有限公司，太平洋保险,22.522775,113.923604,POINT (113.923604 22.522775)
20,艾克斯家（怡海广场）,800~6400,5元/平米·月,22.515152,113.925918,POINT (113.925918 22.515152)
21,南海大厦,48,2.5元/平方米/月,22.519476,113.923789,POINT (113.923789 22.519476)
